# ra,    dec,  Vmag,   B-V;  This data is extracted from SKY2000 Master Catalog, Version 4 <Goddard Space Flight Center, Flight Dynamics Division (2002)>
ra	dec	vmag	bv
72.8015	5.6051	3.68	-0.159
72.8436	18.8399	5.09	0.220
72.8676	-34.9063	5.83	0.100
73.0217	63.5054	5.47	1.496
73.1332	14.2506	4.74	1.750
73.1583	36.7032	4.78	1.399
73.1963	27.8975	5.97	0.379
73.1990	42.5866	5.69	0.103
73.2236	-5.4527	4.38	0.264
73.5125	66.3427	4.31	-0.014
73.5629	2.4407	3.71	-0.173
73.6954	11.4260	5.19	0.118
73.6991	7.7791	5.33	1.206
73.7113	0.4672	5.99	-0.119
73.7239	10.1508	4.66	0.081
73.7630	55.2591	5.53	0.012
73.7967	-74.9369	5.46	1.512
73.9590	15.0403	5.79	-0.088
74.0928	13.5145	4.08	1.163
74.1008	-5.1714	5.50	-0.126
74.2484	33.1661	2.68	1.520
74.3217	53.7521	4.46	-0.010
74.3431	17.1537	5.49	1.300
74.4527	23.9486	5.81	1.085
74.5391	25.0504	5.79	0.015
74.6371	1.7140	4.46	1.386
74.7124	-82.4705	5.84	0.925
74.7557	-16.3760	5.68	0.432
74.8142	37.8902	4.99	0.018
74.9602	-10.2633	5.39	0.789
74.9822	-12.5374	4.78	0.273
75.0764	39.3947	5.98	0.438
75.0863	81.1941	5.09	1.303
75.3566	-20.0519	4.90	-0.045
75.3598	-7.1740	4.79	-0.167
75.4598	0.7221	5.91	1.268
75.4922	43.8233	3.03	0.529
75.5409	-26.2750	5.01	1.065
75.5950	-31.7713	5.92	1.181
75.6792	-71.3143	5.30	0.998
75.6891	-4.2101	5.86	1.208
75.7739	21.5900	4.62	0.165
75.8545	60.4422	4.03	0.888
75.9720	-24.3882	5.59	0.106
76.1017	-35.4830	4.57	1.211
76.1423	15.4041	4.67	-0.053
76.2417	-49.5778	5.04	1.511
76.3488	1.1776	5.87	3.627
76.3653	-22.3710	3.18	1.470
76.3777	-57.4727	4.71	0.515
76.5352	58.9724	5.23	-0.112
76.6287	41.2345	3.17	-0.152
76.6693	51.5977	4.98	0.329
76.8540	-12.4913	5.96	0.608
76.8625	18.6451	4.92	0.646
76.8918	-63.3997	5.21	1.573
76.9517	20.4184	5.29	0.114
76.9624	-5.0864	2.79	0.151
76.9704	8.4984	5.35	0.339
76.9810	21.7048	5.84	0.165
77.0276	24.2652	5.51	0.027
77.2866	-8.7541	4.26	-0.189
77.3318	9.8296	5.43	0.261
77.4248	15.5972	4.82	0.319
77.6788	46.9621	5.68	0.438
77.8299	-2.4908	5.90	0.469
78.0746	-11.8692	4.47	-0.095
78.0936	73.9467	5.44	-0.110
78.2005	-6.0572	5.90	0.963
78.2329	-16.2055	3.29	-0.095
78.3078	-12.9413	4.43	-0.098
78.3228	2.8613	4.48	1.215
78.3572	38.4845	4.83	0.203
78.4394	-67.1853	4.80	1.293
78.6202	-35.9770	5.74	1.003
78.6345	-8.2016	0.28	0.023
78.6835	5.1562	5.49	1.355
78.8516	-26.9435	5.06	-0.070
79.0172	11.3414	5.53	-0.015
79.0756	34.3123	6.00	0.196
79.3712	-34.8952	4.82	0.988
79.4016	-6.8444	3.60	-0.110
79.5440	33.3716	4.54	1.262
79.5654	42.7921	5.64	1.462
79.7103	-18.1301	5.96	0.572
79.7853	40.0991	4.69	0.626
79.7967	2.5958	5.34	0.422
79.8192	22.0965	4.95	0.942
79.8422	-50.6060	5.44	0.512
79.8487	-27.3689	5.98	-0.025
79.8939	-13.1768	4.28	-0.236
80.0942	62.6537	5.63	1.744
80.1122	-21.2398	4.74	-0.047
80.3029	29.5699	5.66	0.056
80.4315	8.4286	5.79	-0.128
80.4406	-0.3825	4.72	-0.164
80.4427	-24.7730	5.06	0.662
80.4517	41.8046	5.21	-0.132
80.6397	79.2311	5.09	0.495
80.7083	3.5445	4.98	-0.157
80.8501	-39.6784	5.75	1.597
80.8520	-53.4452	5.75	1.597
80.8660	57.5444	5.25	-0.014
80.8757	-13.9274	5.24	-0.207
80.9868	-7.8081	4.14	0.955
81.1061	17.3835	5.00	0.534
81.1187	-16.9758	5.65	-0.005
81.1192	-2.3971	3.39	-0.171
81.1605	31.1431	5.94	0.026
81.1631	37.3853	4.99	1.444
81.1868	1.8464	4.89	-0.179
81.2573	-10.3289	5.59	1.543
81.2828	6.3497	1.66	-0.142
81.4993	-19.6954	5.82	0.429
81.5730	28.6074	1.68	-0.059
81.5803	-58.9125	5.13	0.981
81.7093	3.0957	4.61	-0.208
81.7722	-40.9435	5.86	0.249
81.7845	30.2086	5.73	0.148
81.9087	21.9370	4.88	-0.142
81.9120	34.4759	5.06	1.422
81.9400	15.8741	5.52	0.012
82.0613	-20.7594	2.84	0.821
82.0639	-37.2308	5.57	0.022
82.3188	25.1502	5.85	-0.072
82.3487	-3.4464	5.80	1.132
82.4333	-1.0922	4.70	1.570
82.4782	1.7893	5.76	-0.187
82.5395	-47.0777	5.46	0.617
82.5425	63.0672	5.44	1.678
82.6960	5.9481	4.23	-0.134
82.7027	41.4620	5.99	1.116
82.8031	-35.4705	3.87	1.138
82.9000	-45.9253	5.85	1.347
82.9709	-76.3410	5.18	1.138
82.9828	-7.3015	4.61	-0.252
83.0017	-0.2991	2.23	-0.166
83.0531	18.5942	4.36	2.034
83.1820	32.1920	4.74	0.274
83.1826	-17.8223	2.59	0.238
83.2142	-38.5134	5.45	1.229
83.2482	-64.2275	5.34	1.027
83.4063	-62.4898	3.76	0.807
83.4762	14.3056	5.60	-0.121
83.5699	3.7669	5.33	0.055
83.6866	-73.7413	5.84	1.655
83.8145	-33.0797	5.76	1.114
83.8465	-4.8384	4.60	-0.193
83.8583	-5.9099	2.78	-0.211
83.8630	24.0396	5.38	-0.095
84.0534	-1.2019	1.72	-0.123
84.1467	54.4287	5.73	1.644
84.2266	9.2907	4.09	0.947
84.2656	17.0403	5.53	0.232
84.2683	11.0350	5.98	1.572
84.2871	26.9242	5.88	-0.078
84.2912	-80.4691	5.65	0.600
84.4112	21.1425	3.00	-0.150
84.4359	-28.6897	5.28	0.480
84.5047	7.5414	5.87	-0.065
84.6587	30.4924	5.41	0.450
84.6814	-40.7073	5.81	-0.081
84.7212	-7.2128	4.79	0.139
84.7964	4.1215	4.54	-0.115
84.8263	29.2152	5.99	0.133
84.8798	-3.5647	5.98	0.286
84.9122	-34.0741	2.66	-0.091
84.9342	25.8971	5.17	-0.144
84.9577	-32.6292	5.44	0.916
85.1897	-1.9426	1.74	-0.199
85.2733	0.3378	5.93	0.305
85.3238	16.5341	4.84	-0.126
85.6102	65.6976	5.62	1.248
85.6193	1.4746	4.90	1.157
85.7247	-6.7962	5.97	0.432
85.8403	-18.5575	5.74	-0.013
86.1158	-22.4484	3.60	0.495
86.1932	-65.7355	4.34	0.223
86.4752	49.8263	5.46	0.041
86.4996	-32.3064	5.16	-0.265
86.6141	-46.5972	5.30	1.037
86.6266	56.1156	5.93	0.157
86.6455	1.1682	5.93	0.769
86.6896	15.8225	6.00	-0.074
86.7389	-14.8220	3.55	0.113
86.8212	-51.0665	3.86	0.180
86.8592	17.7291	5.48	0.294
86.9288	13.8996	5.28	-0.158
86.9391	-9.6696	2.06	-0.116
87.0010	6.4542	5.30	0.222
87.2540	24.5675	4.89	1.013
87.3872	12.6513	4.88	-0.059
87.4569	-56.1667	4.50	1.088
87.4729	-22.9719	5.87	0.051
87.4730	-66.9012	5.10	-0.132
87.5544	4.4234	5.95	1.375
87.5699	-79.3614	5.46	-0.071
87.7400	-35.7683	3.11	1.170
87.7602	37.3056	4.73	1.610
87.8304	-20.8791	3.78	0.977
87.8416	-7.5180	5.35	-0.196
87.8725	39.1485	3.97	1.126
88.0322	-9.0419	5.96	0.082
88.0842	-57.1562	5.94	0.646
88.0929	14.1718	5.60	-0.049
88.1102	1.8551	4.75	1.381
88.2787	-33.8014	4.87	-0.135
88.3319	27.6123	4.56	-0.010
88.5252	-63.0896	4.65	1.038
88.5958	20.2762	4.40	0.597
88.6818	-11.7742	5.62	1.524
88.6835	0.9686	5.97	1.343
88.7116	55.7069	4.97	0.051
88.7187	-39.9579	5.56	1.489
88.7409	59.8884	5.20	0.015
88.7458	31.7015	5.91	0.148
88.7929	7.4071	0.57	1.736
88.8747	-37.1207	4.96	1.095
88.8757	-4.6165	5.87	1.161
89.0595	-22.8400	5.97	1.110
89.0873	-31.3824	5.52	0.392
89.1012	-14.1677	3.72	0.333
89.1168	9.5094	5.98	-0.043
89.2060	11.5211	5.89	1.120
89.3842	-35.2833	4.36	-0.162
89.4986	25.9539	4.83	-0.091
89.6018	1.8371	5.90	0.228
89.6564	-44.0346	5.81	1.045
89.7065	0.5530	5.22	0.017
89.7218	12.8083	5.74	0.866
89.7680	-9.5583	5.04	0.188
89.7867	-42.8151	3.94	1.144
89.8407	49.9245	5.91	1.192
89.8818	54.2847	3.73	1.011
89.8822	44.9474	1.90	0.072
89.9303	37.2126	2.65	-0.083
90.0140	-3.0743	4.53	1.214
90.2049	-51.2163	5.66	0.204
90.2440	47.9019	5.72	-0.013
90.3179	-33.9118	5.53	1.566
90.4294	48.9594	5.97	1.436
90.4601	-10.5979	5.00	-0.119
90.5958	9.6473	4.13	0.179
90.8150	-26.2845	5.04	1.331
90.9799	20.1385	4.64	0.228
91.0300	23.2633	4.18	0.830
91.0563	-6.7089	5.26	-0.083
91.0844	-32.1724	5.65	-0.189
91.1671	-45.0789	5.96	0.470
91.2424	5.4200	5.66	1.038
91.2432	4.1587	5.63	1.022
91.2464	-16.4844	4.97	0.186
91.2641	42.9816	5.90	0.343
91.3626	-10.2426	5.88	0.358
91.3632	-35.5136	5.80	0.023
91.5231	-29.7586	5.79	0.037
91.5388	-14.9353	4.67	0.044
91.6337	-23.1108	5.46	0.068
91.6462	38.4826	5.35	0.255
91.6614	-4.1938	5.37	-0.124
91.7396	-21.8123	5.79	1.554
91.7641	-62.1546	5.04	1.262
91.7653	-34.3120	5.85	-0.136
91.8818	-37.2529	5.00	-0.098
91.8930	14.7685	4.42	-0.159
91.9235	-19.1659	5.28	1.634
91.9702	-42.1540	5.50	0.004
92.1844	-68.8434	5.05	-0.061
92.2413	2.4997	5.69	0.062
92.3852	22.1903	5.93	1.639
92.4333	23.1135	5.76	0.158
92.4959	58.9357	5.35	1.097
92.5433	-40.3538	5.56	1.638
92.5603	-74.7530	5.07	0.731
92.5746	-54.9686	4.72	-0.230
92.6445	-27.1543	5.70	1.074
92.8124	-65.5894	5.02	1.587
92.8846	24.4203	5.83	1.109
92.9850	14.2088	4.46	-0.159
93.0056	19.7905	5.76	-0.052
93.0137	16.1304	4.96	-0.139
93.0839	32.6934	5.79	1.619
93.2128	65.7184	5.35	1.348
93.4760	-3.7414	5.83	0.917
93.6191	17.9064	5.88	0.248
93.7120	19.1564	5.21	0.448
93.7139	-6.2748	3.98	1.327
93.7194	22.5068	3.30	1.560
93.8238	-18.4772	5.99	1.055
93.8445	29.4981	4.33	1.019
93.8928	-0.5122	5.62	0.498
93.9189	59.9990	5.35	1.338
93.9370	-13.7184	5.01	-0.078
94.1109	12.2722	5.04	0.430
94.1381	-35.1405	4.37	0.987
94.1483	-39.2644	6.00	0.160
94.2551	-37.7374	5.54	1.135
94.2776	9.9424	5.40	0.101
94.3172	5.1001	5.71	0.609
94.4238	-16.8159	5.15	1.279
94.4784	61.5153	5.03	1.809
94.7108	-9.3900	5.36	1.241
94.7116	69.3198	4.77	0.020
94.7457	-20.9256	5.78	-0.152
94.9058	59.0110	4.45	0.028
94.9207	-34.3966	5.76	-0.083
94.9283	-7.8229	5.26	-0.180
94.9983	-2.9445	4.92	1.585
95.0176	14.6511	5.68	1.574
95.0783	-30.0634	3.02	-0.163
95.4422	53.4522	5.34	0.448
95.5285	-33.4364	3.85	0.863
95.6516	12.5702	6.00	0.313
95.6749	-17.9559	1.96	-0.164
95.7326	-56.3700	5.61	0.245
95.7401	22.5136	2.90	1.592
95.9075	-52.1809	5.97	1.029
95.9420	4.5929	4.41	0.192
95.9830	-25.5776	5.61	1.548
96.0042	-36.7078	5.62	1.019
96.0430	-11.5301	5.21	1.233
96.0577	-60.2813	5.78	-0.004
96.2246	49.2879	4.95	1.932
96.4319	-48.1769	5.79	-0.066
96.6077	56.2851	5.54	0.234
96.7036	58.4174	5.19	1.541
96.7672	-58.0021	5.82	1.281
96.8073	0.2992	5.19	1.184
96.8352	2.9083	5.55	1.033
96.9899	-4.7622	5.05	-0.177
97.0425	-32.5801	4.47	-0.156
97.1420	30.4930	5.75	0.765
97.1559	-17.4660	5.76	1.115
97.2045	-7.0331	4.64	-0.119
97.2408	20.2121	4.14	-0.117
97.3687	-56.8528	5.20	1.085
97.3703	-24.3450	5.20	1.085
97.4544	-50.2391	5.29	0.384
97.5124	46.6856	5.87	1.447
97.5470	-10.0815	5.91	1.350
97.6929	-27.7696	5.92	-0.160
97.8046	-35.2588	5.83	0.800
97.8263	-51.8260	5.58	0.539
97.8460	-12.3920	5.16	1.266
97.9512	11.5444	5.22	0.182
97.9586	-8.1582	5.42	1.353
97.9640	-23.4184	4.33	-0.225
97.9930	-58.7538	5.72	-0.064
98.0800	4.8560	5.85	0.991
98.0891	-37.6967	5.25	0.979
98.0964	-5.8688	5.61	0.259
98.1133	32.4549	5.82	0.179
98.2259	7.3330	4.51	-0.005
98.4007	14.1552	5.56	1.115
98.4080	-1.2202	5.09	-0.135
98.4562	-36.2320	5.41	1.407
98.7441	-52.9756	4.38	-0.023
98.8003	28.0223	5.27	-0.012
98.8159	0.8902	5.80	-0.021
98.8233	9.9883	5.89	1.504
99.1368	38.4455	5.43	2.976
99.1472	-5.2111	5.52	-0.086
99.1710	-19.2559	3.95	1.060
99.1942	-13.3210	5.95	1.563
99.4100	56.8575	5.88	0.003
99.4224	61.4812	5.94	0.892
99.4279	16.3993	2.02	0.924
99.4403	-43.1959	3.18	-0.098
99.4484	-32.3397	5.26	1.179
99.4726	-18.2375	4.43	1.152
99.5958	28.9844	5.75	0.011
99.6568	-48.2202	5.03	0.989
99.8197	-14.1458	4.82	1.485
99.8326	42.4889	4.79	1.233
99.9278	-30.4705	5.71	1.134
99.9488	12.9828	5.98	0.068
100.0120	-80.8136	5.61	0.205
100.1203	77.9958	5.73	1.487
100.1344	71.7488	5.86	1.222
100.2444	9.8958	4.67	-0.230
100.2727	0.4953	5.79	-0.100
100.4849	-9.1675	5.21	1.509
100.6014	17.6453	5.29	0.222
100.7707	44.5245	5.03	1.478
100.9110	3.9325	5.88	-0.051
100.9830	25.1311	3.01	1.405
101.1186	-31.0705	5.23	-0.131
101.1894	28.9709	5.42	1.445
101.3224	12.8956	3.34	0.457
101.4738	-52.4097	5.78	1.550
101.5589	59.4417	4.87	0.080
101.5590	79.5648	5.45	0.514
101.5590	18.8868	5.45	0.514
101.6626	-10.1074	5.66	-0.043
101.6847	43.5774	5.25	0.567
101.7063	57.1692	5.34	0.960
101.8280	-55.5400	5.60	1.542
101.8326	8.0373	4.77	1.395
101.8392	-37.9297	5.27	-0.081
101.9051	-8.9985	5.09	1.806
101.9149	48.7895	5.22	1.124
101.9652	2.4122	4.47	1.114
102.0477	-61.9414	3.25	0.229
102.0794	-1.3189	5.75	0.284
102.2406	-15.1447	5.40	-0.092
102.3184	-2.2720	5.76	-0.105
102.4221	32.6068	5.72	1.297
102.4577	16.2029	5.87	-0.136
102.4602	-32.5085	3.53	-0.118
102.4638	-53.6224	4.41	0.906
102.4776	-46.6146	5.15	0.452
102.4840	-50.6146	2.94	1.206
102.5907	-17.0846	5.78	1.401
102.6062	13.4132	5.68	1.331
102.6914	41.7812	4.98	1.258
102.7076	-0.5409	5.78	0.388
102.7181	-34.3673	4.99	1.381
102.7379	67.5719	5.14	-0.153
102.8624	-70.9634	5.40	-0.106
102.8877	21.7611	5.27	0.008
102.9268	-36.2303	5.95	0.186
102.9999	23.6017	5.67	1.466
103.1972	33.9613	3.61	0.117
103.2061	8.3804	5.75	0.264
103.3284	-19.0328	5.65	0.278
103.4260	68.8883	5.11	-0.116
103.5331	-24.1842	3.84	1.756
103.5475	-12.0386	4.07	1.431
103.6028	-1.1270	5.45	0.157
103.6610	13.1778	4.70	0.302
103.8278	25.3757	5.75	0.597
103.9060	-20.1365	4.68	0.366
103.9455	-22.9414	5.31	-0.161
104.0277	-14.0434	4.97	1.190
104.0343	-17.0542	4.39	-0.076
104.0666	-48.7211	4.95	1.665
104.1076	9.9566	5.92	-0.093
104.1436	-79.4202	5.46	0.037
104.2522	33.6810	5.92	0.875
104.3192	58.4228	4.36	0.842
104.3913	-24.6308	5.45	0.374
104.4046	45.0941	4.90	0.034
104.6046	-34.1117	5.07	-0.155
104.6565	-28.9721	1.53	-0.132
104.7376	3.6024	5.95	1.055
104.9606	-67.9164	5.17	1.402
105.0168	76.9774	4.54	1.376
105.0990	-8.4068	5.95	-0.070
105.2145	-51.4026	5.16	1.625
105.3392	70.8083	5.68	1.336
105.4298	-27.9348	3.47	1.726
105.4849	-5.7221	5.22	1.660
105.6033	24.2154	5.18	0.947
105.7282	-4.2392	4.98	-0.195
105.7561	-23.8333	3.04	-0.089
105.8129	-59.1781	5.65	-0.138
105.8769	29.3371	5.94	0.599
105.9086	10.9518	5.12	1.395
105.9396	-15.6333	4.11	-0.112
105.9650	12.5942	6.00	1.563
105.9734	-49.5839	4.93	0.128
105.9888	-43.6080	5.54	0.617
106.0116	-42.3373	5.21	0.209
106.0272	20.5703	4.01	0.892
106.0764	-56.7497	5.16	-0.035
106.5483	34.4740	5.55	0.901
106.6699	-11.2940	5.43	-0.009
106.7795	-40.8933	5.79	-0.161
106.8054	-51.9683	5.96	0.985
106.8441	-23.8407	5.76	-0.120
106.9562	7.4712	5.74	1.165
107.0918	15.9307	5.49	1.022
107.0979	-26.3932	1.84	0.701
107.1869	-70.4989	3.76	1.022
107.2128	-39.6557	4.83	-0.167
107.4293	-25.2310	5.69	-0.164
107.5570	-4.2371	4.92	1.007
107.5805	-27.4915	5.45	0.985
107.6978	-48.9321	5.11	1.249
107.7849	30.2452	4.39	1.273
107.8461	26.8566	5.76	0.119
107.9139	39.3205	4.89	1.463
107.9234	-20.8831	5.84	-0.038
107.9661	-0.4928	4.15	0.003
108.0659	-40.4988	5.30	0.068
108.1076	-36.5444	5.94	-0.145
108.1099	24.1286	5.85	0.394
108.1401	-46.7593	4.50	0.321
108.2800	-11.2513	5.76	1.491
108.3428	16.1590	5.06	1.583
108.3475	51.4287	5.49	1.612
108.3501	-22.6742	5.98	1.481
108.3847	-44.6397	4.51	1.308
108.5452	-3.9018	5.96	1.575
108.5836	3.1114	5.35	1.203
108.6359	12.1158	5.70	1.008
108.6589	-48.2719	4.75	-0.081
108.6749	24.8850	5.84	1.525
108.7027	-26.7727	4.04	-0.163
108.7381	-41.4264	5.95	-0.147
108.8378	-30.6864	5.35	-0.159
108.8384	-52.4992	5.96	1.096
108.9143	7.9777	5.83	1.506
108.9589	47.2400	5.55	0.581
108.9788	59.6375	5.20	1.091
108.9882	27.8974	5.75	1.576
109.0606	-15.5857	5.45	0.085
109.1327	-38.3189	5.81	-0.140
109.1458	-27.8812	4.67	1.555
109.1535	-23.3156	4.82	1.694
109.2076	-67.9572	3.97	0.774
109.2857	-37.0975	2.71	1.592
109.3905	52.1311	5.94	1.258
109.5092	40.8834	5.87	0.179
109.5177	-43.9868	5.85	-0.105
109.5232	16.5404	3.58	0.114
109.6332	49.4648	5.02	0.090
109.6396	-39.2103	5.25	0.022
109.6770	-24.9544	4.40	-0.166
109.7136	-26.5859	5.29	0.958
109.8432	2.7407	5.90	1.053
109.8674	-16.3952	5.72	0.341
109.9485	7.1429	5.91	0.534
110.0307	21.9823	3.54	0.343
110.1617	-52.0859	5.38	-0.072
110.2429	-14.3605	5.58	0.953
110.3229	45.2282	5.75	0.337
110.4869	20.4437	5.09	1.545
110.5109	36.7606	5.13	1.079
110.5145	0.1771	5.98	-0.072
110.5564	-19.0166	4.97	-0.055
110.7169	55.2814	5.80	-0.097
110.8688	25.0505	5.03	0.902
110.8708	-27.8343	5.36	1.531
111.0238	-29.3031	2.46	-0.048
111.0353	40.6724	5.19	1.249
111.1674	-16.2015	5.20	-0.038
111.2379	51.8873	5.80	1.611
111.2424	11.6695	5.37	0.105
111.2846	-13.7520	5.79	0.416
111.3553	-25.2178	5.79	-0.106
111.4087	-79.0942	5.53	1.274
111.4317	27.7981	3.79	1.024
111.5910	-51.0185	5.08	1.037
111.6769	-34.1407	5.90	-0.153
111.6785	49.2115	4.62	-0.005
111.7347	20.2576	5.94	0.323
111.7833	-17.8649	5.62	0.317
111.7877	8.2893	2.89	-0.075
111.9348	21.4452	5.24	0.447
111.9653	-11.5569	5.86	0.576
112.0086	6.9420	5.24	0.226
112.2145	48.1839	5.71	-0.096
112.2737	-38.8121	5.40	-0.152
112.2780	31.7846	4.18	0.320
112.3076	-43.3014	3.26	1.509
112.3278	-1.9053	5.58	1.492
112.3421	-10.3267	5.73	1.598
112.3568	-7.5512	5.87	0.478
112.4491	12.0066	4.54	1.283
112.4642	-23.0243	4.86	0.223
112.6288	-54.3994	5.95	1.556
112.6775	-30.9623	4.64	0.911
112.7196	68.4656	5.65	1.097
112.7686	82.4115	4.89	1.570
112.9517	17.0860	5.44	1.131
113.0240	-8.8813	5.93	0.523
113.0248	1.9145	5.24	0.221
113.2907	-24.7107	5.85	0.162
113.2986	3.2904	5.59	0.334
113.4020	15.8267	5.27	0.051
113.4498	-14.5239	4.96	1.345
113.4627	-36.3384	5.42	-0.097
113.5133	-22.2961	4.45	0.518
113.5802	-23.4749	5.83	0.464
113.6450	-27.0123	5.78	1.029
113.6494	31.8883	1.58	0.034
113.8454	-28.3693	4.65	-0.106
113.9155	-52.5338	4.93	1.395
113.9806	26.8957	4.07	1.533
114.1318	46.1803	5.65	1.555
114.1960	55.7551	5.94	1.121
114.3195	-4.1110	5.14	0.454
114.3421	-34.9685	4.53	-0.080
114.5752	-25.3648	4.69	-0.098
114.6829	-36.4968	5.78	-0.150
114.7078	-26.8038	4.45	-0.170
114.7914	34.5843	4.89	0.426
114.8255	5.2250	0.40	0.432
114.8639	-38.3080	4.84	-0.173
114.8691	17.6745	5.04	1.587
115.0612	38.3445	5.76	1.627
115.0967	-15.2639	4.97	1.552
115.1270	87.0201	5.05	1.589
115.2438	23.0185	5.92	1.546
115.3017	48.1315	5.59	0.992
115.3118	-9.5511	3.94	1.030
115.3965	3.6248	5.96	-0.035
115.4553	-72.6061	3.95	1.026
115.5134	14.2085	5.57	1.608
115.7006	-26.3513	5.63	0.987
115.7379	-45.1731	5.05	0.759
115.7517	58.7104	4.96	0.082
115.9247	-40.9337	5.12	1.104
115.9520	-28.9548	3.98	0.150
116.0174	50.4338	5.33	-0.007
116.0288	25.7842	5.29	1.537
116.1119	24.3980	3.57	0.932
116.1424	-24.6741	5.61	-0.197
116.3137	-37.9686	3.62	1.690
116.3290	28.0262	1.22	0.969
116.3959	-34.1724	5.36	0.589
116.4870	-14.5638	5.04	0.328
116.5091	-6.7725	5.50	1.364
116.5310	18.5100	4.87	1.445
116.5675	10.7683	5.25	0.015
116.6637	37.5174	5.17	1.571
116.6670	65.4557	5.94	1.181
116.8023	-22.5195	5.90	-0.183
116.8763	33.4157	5.14	1.608
116.9863	-12.1923	5.48	0.478
117.0215	-25.9372	4.50	-0.095
117.2780	-56.4104	5.58	1.096
117.3038	-60.2837	5.78	0.412
117.3096	-46.3732	4.11	-0.190
117.3236	-24.8598	3.33	1.227
117.3975	-33.2889	5.60	1.589
117.4208	-66.1960	5.78	-0.048
117.4217	-17.2284	5.17	1.293
117.5441	-9.1834	5.60	1.442
117.5993	-50.5095	5.90	1.089
117.9250	1.7669	5.13	-0.114
117.9293	-21.1737	5.61	0.956
117.9429	-13.8980	5.17	0.612
118.0543	-40.5758	3.72	1.022
118.0653	-34.7054	5.01	0.470
118.0787	-14.8462	5.69	0.382
118.1239	-54.3672	5.69	-0.153
118.1610	-38.8628	4.49	-0.173
118.1994	-5.4283	5.77	0.409
118.2651	-49.6130	4.62	-0.213
118.3257	-48.1029	4.25	-0.153
118.3742	26.7658	4.98	0.101
118.6779	47.5646	5.45	1.469
118.7222	-57.3028	5.61	1.302
118.7231	6.0587	5.61	1.302
118.8810	8.8628	5.86	0.350
118.9162	19.8840	5.38	-0.038
119.1946	-52.9824	3.46	-0.162
119.2147	-22.8801	4.20	0.714
119.2477	15.7903	5.81	1.275
119.3268	-44.1099	5.08	-0.167
119.4171	-30.3346	4.79	0.145
119.4655	-45.5777	5.12	1.272
119.5602	-49.2449	4.47	-0.183
119.5861	2.2248	5.29	0.928
119.8682	-39.2970	5.23	0.383
119.9064	-60.5871	5.21	1.734
119.9340	-3.6796	4.94	1.198
119.9669	-18.3992	4.61	0.085
120.0489	73.9179	5.35	1.430
120.0832	-63.5675	4.81	-0.154
120.1971	17.3087	5.59	1.309
120.2081	-54.1513	5.85	-0.127
120.2328	25.3928	5.86	1.018
120.3056	-1.3926	4.68	1.481
120.3079	4.8798	5.65	0.010
120.3366	59.0474	5.78	0.404
120.4064	-37.2837	5.91	0.158
120.5664	2.3346	4.39	1.259
120.6866	-41.3098	5.51	-0.133
120.6881	6.7421	5.51	-0.133
120.8795	27.7943	4.94	1.139
120.8960	-40.0031	2.22	-0.203
121.0675	-32.6748	5.23	1.862
121.1767	-50.5904	5.96	1.193
121.1961	79.4796	5.40	-0.043
121.2655	-53.1079	5.51	1.339
121.2687	13.1182	5.15	0.015
121.5766	22.6355	5.98	1.622
121.6681	-45.2660	5.02	1.488
121.8252	-20.5543	5.34	0.087
121.8860	-24.3043	2.83	0.458
121.9411	21.5818	5.30	0.637
121.9825	-68.6171	4.40	-0.119
122.1144	51.5067	4.80	0.030
122.1485	-2.9838	4.36	0.966
122.2528	-61.3024	4.75	0.437
122.2568	-19.2450	4.40	-0.148
122.3689	-16.2489	5.66	-0.157
122.3831	-47.3366	1.79	-0.240
122.3901	-56.0854	5.66	0.209
122.3996	-44.1228	5.19	-0.174
122.5157	58.2482	5.90	1.364
122.6133	25.5073	5.73	0.811
122.8179	-12.9270	4.72	0.943
122.8396	-39.6185	4.42	1.601
122.8579	-42.9873	4.76	0.161
122.8875	-7.7725	5.35	0.910
123.0530	17.6478	5.63	0.540
123.2033	68.4741	5.33	1.018
123.2869	29.6565	5.62	-0.064
123.3332	-15.7882	4.99	1.056
123.3730	-35.8995	4.78	-0.133
123.3927	-50.1961	5.52	1.624
123.4591	56.4522	5.85	1.015
123.5995	-45.8345	5.85	-0.178
123.8163	-62.9156	5.25	0.062
124.1288	9.1855	3.52	1.483
124.4601	59.5711	5.64	0.172
124.5725	-35.4517	5.58	1.248
124.5784	-65.6132	5.06	1.146
124.5998	-12.6322	5.95	0.773
124.6315	-76.9197	4.06	0.408
124.6388	-36.6593	4.45	0.226
124.8215	62.5072	5.73	0.890
124.8845	75.7569	5.56	0.901
124.9540	-71.5149	5.34	-0.066
125.0161	27.2177	5.13	0.477
125.0874	20.7477	5.80	1.139
125.1086	57.7433	5.89	0.404
125.1339	24.0223	5.92	-0.042
125.1680	72.4072	5.98	1.539
125.3004	-57.9732	5.96	-0.094
125.3384	-20.0791	5.58	0.772
125.3459	-33.0544	4.82	1.447
125.4775	-17.5863	5.71	1.052
125.5186	-73.4000	5.29	0.007
125.6285	-59.5095	1.95	1.195
125.6321	-48.4904	4.83	-0.165
125.7081	-26.3482	5.89	0.389
125.7088	43.1881	4.24	1.551
125.7254	-7.5431	5.94	1.607
125.8410	18.3322	5.94	0.185
125.9521	53.2197	5.52	0.122
126.0826	-80.9142	5.69	1.011
126.2656	-24.0462	5.29	1.499
126.3292	-21.0460	6.00	0.413
126.3805	-51.7274	5.17	-0.170
