acat	acom	zcat	zcom	dasinz	dz	dtotal	dtotdsig	star	sf
208.7721	208.7844	10.4750	10.5446	0.0022	0.0696	0.0696	2.27	78	8.40
173.0076	173.0895	8.4127	8.4890	0.0120	0.0763	0.0772	2.52	79	6.68
215.4235	215.4833	10.3975	10.4753	0.0108	0.0779	0.0786	2.56	80	8.39
234.7317	234.7498	14.6274	14.6823	0.0046	0.0549	0.0551	1.80	81	12.91
101.1729	101.2424	34.2203	34.2283	0.0391	0.0080	0.0399	1.30	82	34.70
119.6368	119.7980	13.2711	13.3035	0.0370	0.0323	0.0492	1.60	83	13.19
257.2562	257.2519	31.3795	31.3784	-0.0022	-0.0012	0.0025	0.08	84	30.19
246.1644	246.1820	14.7188	14.7772	0.0045	0.0584	0.0586	1.91	85	13.30
110.4854	110.6365	13.5644	13.5866	0.0354	0.0222	0.0418	1.36	86	13.81
140.5159	140.7197	5.9009	5.9519	0.0210	0.0509	0.0551	1.80	87	5.27
94.8422	94.8539	34.4123	34.3941	0.0066	-0.0182	0.0194	0.63	88	35.09
261.8534	261.8339	32.1729	32.1710	-0.0104	-0.0019	0.0106	0.35	89	31.13
96.5946	96.6669	24.0749	24.0574	0.0295	-0.0175	0.0343	1.12	90	24.72
259.2551	259.2364	20.8905	20.9188	-0.0066	0.0283	0.0290	0.95	91	19.82
262.7346	262.7246	30.7403	30.7277	-0.0051	-0.0126	0.0136	0.44	92	29.72
101.2762	101.3652	13.4734	13.4940	0.0207	0.0206	0.0292	0.95	93	14.06
106.7919	106.9858	9.5755	9.6145	0.0323	0.0391	0.0507	1.65	94	10.04
107.3820	107.5608	8.7684	8.8020	0.0272	0.0337	0.0433	1.41	95	9.23
93.1581	93.2458	23.7317	23.6968	0.0353	-0.0349	0.0497	1.62	96	24.48
264.8600	264.8387	26.3125	26.3298	-0.0094	0.0173	0.0197	0.64	97	25.40
90.6434	90.6884	33.7949	33.7935	0.0250	-0.0014	0.0251	0.82	98	34.64
266.8592	266.8689	29.9806	29.9707	0.0049	-0.0100	0.0111	0.36	99	29.10
266.3452	266.3102	14.0514	14.1010	-0.0085	0.0496	0.0503	1.64	100	13.30
89.0630	89.0737	39.4632	39.4354	0.0068	-0.0278	0.0286	0.93	101	40.33
266.1221	266.0680	4.7458	4.7842	-0.0045	0.0385	0.0387	1.26	102	4.29
88.8131	89.0679	8.1135	8.1428	0.0360	0.0293	0.0464	1.51	103	9.21
268.7254	268.7166	21.0757	21.0915	-0.0032	0.0158	0.0162	0.53	104	20.32
269.9513	269.9677	42.2087	42.1873	0.0110	-0.0214	0.0240	0.78	105	41.41
271.8821	271.9157	27.9997	27.9947	0.0158	-0.0049	0.0165	0.54	106	27.31
276.1344	276.0859	13.4337	13.4887	-0.0113	0.0550	0.0561	1.83	107	13.05
85.9757	85.9435	38.5216	38.4964	-0.0201	-0.0252	0.0322	1.05	108	39.49
81.9037	81.9914	19.6902	19.6825	0.0295	-0.0077	0.0305	1.00	109	20.85
272.0198	272.0679	41.7460	41.7233	0.0320	-0.0227	0.0393	1.28	110	41.02
272.2139	272.2465	43.9230	43.8745	0.0226	-0.0485	0.0536	1.75	111	43.17
281.8114	281.8206	13.3694	13.4080	0.0021	0.0386	0.0387	1.26	112	13.19
273.2017	273.2277	44.8317	44.7909	0.0183	-0.0409	0.0448	1.46	113	44.12
330.0228	329.9502	5.5008	5.5011	-0.0070	0.0003	0.0070	0.23	114	7.03
275.7720	275.8157	38.3117	38.3184	0.0271	0.0068	0.0279	0.91	115	37.76
80.7421	80.7036	34.8730	34.8358	-0.0220	-0.0371	0.0432	1.41	116	36.01
282.7611	282.7428	20.1588	20.1623	-0.0063	0.0035	0.0072	0.24	118	19.92
11.9331	11.8975	5.7168	5.7230	-0.0035	0.0061	0.0071	0.23	119	7.86
276.8882	276.9488	37.6799	37.6629	0.0371	-0.0170	0.0408	1.33	120	37.14
79.8182	79.7880	35.1400	35.1052	-0.0174	-0.0348	0.0389	1.27	122	36.30
59.6888	59.8072	12.9249	12.9162	0.0265	-0.0087	0.0279	0.91	123	14.69
282.3632	282.4089	27.0572	27.0336	0.0208	-0.0235	0.0314	1.02	124	26.74
278.6857	278.7476	36.6485	36.6392	0.0370	-0.0094	0.0381	1.24	125	36.19
77.7551	77.7311	34.2347	34.1950	-0.0135	-0.0397	0.0420	1.37	126	35.46
