acat	acom	zcat	zcom	dasinz	dz	dtotal	dtotdsig	star	sf
283.7385	283.6667	56.6423	56.7029	-0.0599	0.0606	0.0853	2.49	69	56.37
193.3015	193.3700	58.8268	58.7251	0.0586	-0.1017	0.1174	3.42	70	59.00
346.7021	346.7302	12.7381	12.7114	0.0062	-0.0267	0.0274	0.80	71	12.32
353.7281	353.6766	23.8818	23.8421	-0.0208	-0.0397	0.0449	1.31	72	23.47
179.8553	179.8459	19.0471	19.0778	-0.0031	0.0307	0.0308	0.90	73	19.43
93.1084	93.0545	25.6900	25.7379	-0.0234	0.0479	0.0533	1.55	74	26.02
327.2286	327.2580	58.0195	58.0173	0.0250	-0.0022	0.0251	0.73	75	57.59
212.0032	212.0474	53.6241	53.6198	0.0356	-0.0043	0.0358	1.04	76	53.78
350.0209	349.9512	20.0694	20.0356	-0.0239	-0.0338	0.0414	1.21	77	19.65
112.6946	112.5804	24.3783	24.4212	-0.0471	0.0429	0.0637	1.86	78	24.80
226.5695	226.6221	59.7687	59.7928	0.0454	0.0241	0.0514	1.50	79	59.84
222.0789	222.0945	28.2569	28.3130	0.0074	0.0561	0.0566	1.65	80	28.40
206.6594	206.6970	27.8976	27.9005	0.0176	0.0029	0.0178	0.52	81	28.09
166.4263	166.4365	25.9332	25.9497	0.0045	0.0165	0.0171	0.50	82	26.35
55.3591	55.3564	11.1865	11.2079	-0.0005	0.0214	0.0214	0.62	83	11.23
85.7313	85.7162	35.7990	35.8173	-0.0088	0.0183	0.0203	0.59	84	36.05
95.0327	94.9980	38.3314	38.3522	-0.0215	0.0208	0.0299	0.87	85	38.64
293.3669	293.2851	28.1074	28.0560	-0.0386	-0.0514	0.0643	1.87	87	27.68
336.9072	336.9904	59.5773	59.6074	0.0718	0.0301	0.0778	2.27	88	59.19
334.4985	334.5115	50.9598	50.9749	0.0101	0.0151	0.0181	0.53	89	50.55
348.2869	348.3030	49.7048	49.7044	0.0123	-0.0004	0.0123	0.36	90	49.31
288.9639	288.9685	10.0327	10.0238	0.0008	-0.0089	0.0089	0.26	91	9.67
311.7449	311.7490	7.3276	7.3312	0.0005	0.0036	0.0037	0.11	92	6.91
59.2129	59.1867	30.5962	30.5966	-0.0133	0.0004	0.0133	0.39	93	30.65
47.8643	47.8158	36.2163	36.2610	-0.0287	0.0447	0.0531	1.55	94	36.22
338.3190	338.3930	59.0595	59.0804	0.0635	0.0209	0.0669	1.95	95	58.66
316.7271	316.6463	29.6676	29.5882	-0.0400	-0.0794	0.0889	2.59	96	29.16
286.2079	286.1764	13.0082	12.9900	-0.0071	-0.0182	0.0196	0.57	97	12.65
73.0109	72.9211	16.5441	16.5816	-0.0256	0.0375	0.0454	1.32	98	16.73
155.7414	155.7577	42.8281	42.7676	0.0111	-0.0605	0.0615	1.79	99	43.19
112.7415	112.7120	35.6645	35.6888	-0.0172	0.0243	0.0298	0.87	100	36.06
211.3487	211.3919	37.6638	37.6974	0.0264	0.0336	0.0427	1.25	101	37.86
333.6373	333.6491	44.3910	44.3463	0.0082	-0.0447	0.0455	1.33	102	43.92
